"","bin","genus_explanation","genus_type","nyslægt","genus_nameing","popup_html","latitude","longitude","city_dk","taxonomy_proposed"
"332","MFD09206.bin.1.206",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Allosphingosinicella europaea<br/>
     <b>Findested:</b> Græsland (Tørre sandede kalkgræsmarker) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.90236,10.25672,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__Allosphingosinicella europaea"
"333","MFD01721.bin.1.104",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Amaricoccus europaeus<br/>
     <b>Findested:</b> Kystområder (Kveller-vade) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.4485,10.5019,"Ikke by brugt i navngivning","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__Amaricoccus europaeus"
"334","MFD01213.bin.1.143",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Angelobacter telluricus<br/>
     <b>Findested:</b> Klitter (Faste klitter (grå klitter)) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.5224,10.4374,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__Angelobacter telluricus"
"335","MFD04967.bin.1.53",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Angelobacter adiacens<br/>
     <b>Findested:</b> Skove (Tempererede skove) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",54.8533,10.5207,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__Angelobacter adiacens"
"336","MFD05841.bin.1.15",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Angelobacter terreum<br/>
     <b>Findested:</b> Skove   <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.891,9.9156,"Ikke by brugt i navngivning","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__Angelobacter terreum"
"337","MFD04463.bin.c.12",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aquilonibacter contiguus<br/>
     <b>Findested:</b> Klitter (Træklitter) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.7443,8.2405,"Ikke by brugt i navngivning","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__Aquilonibacter contiguus"
"338","MFD04463.bin.c.13",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aquilonibacter aridus<br/>
     <b>Findested:</b> Klitter (Træklitter) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.7443,8.2405,"Ikke by brugt i navngivning","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__Aquilonibacter aridus"
"339","MFD05705.bin.1.3",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aquilonibacter nordicus<br/>
     <b>Findested:</b> Klitter (Fugtige klitlavninger) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.7153,8.2063,"Ikke by brugt i navngivning","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__Aquilonibacter nordicus"
"340","MFD09286.bin.1.139",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Aquilonibacter vicinus<br/>
     <b>Findested:</b> Klitter (Afkalkede revling-klitter) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",56.81197,8.26815,"Ikke by brugt i navngivning","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__Aquilonibacter vicinus"
"341","MFD01138.bin.1.15",NA,"N","Nej"," ","<b>Bakteriens navn:</b> Binatus contiguus<br/>
     <b>Findested:</b> Skove (Bøgeskov Luzulo-Fagetum) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.134551,10.269441,"Ikke by brugt i navngivning","d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__Binatus;s__Binatus contiguus"
